Date,Open,High,Low,Close,Adj Close,Volume
2023-02-28,11900.0,11900.0,10200.0,10500.0,9414.181640625,3120498
2023-03-01,10550.0,11000.0,10550.0,11000.0,9862.4775390625,770528
2023-03-02,11140.0,11230.0,11080.0,11080.0,9934.2041015625,263827
2023-03-03,11200.0,11400.0,11130.0,11180.0,10023.86328125,147471
2023-03-06,11550.0,11550.0,11300.0,11490.0,10301.8056640625,72796
2023-03-07,11750.0,11750.0,11330.0,11330.0,10158.3505859375,119437
2023-03-08,11500.0,11500.0,11270.0,11490.0,10301.8056640625,65228
2023-03-09,11600.0,11600.0,11400.0,11400.0,10221.1123046875,160806
2023-03-10,11350.0,11560.0,11220.0,11350.0,10176.283203125,50846
2023-03-13,11200.0,11260.0,11120.0,11130.0,9979.033203125,27684
2023-03-14,11110.0,11300.0,11000.0,11300.0,10131.453125,74811
2023-03-15,11240.0,11600.0,10900.0,11590.0,10391.4638671875,85161
2023-03-16,11700.0,12000.0,11590.0,11900.0,10669.40625,168106
2023-03-17,11900.0,12200.0,11720.0,11750.0,10534.91796875,170343
2023-03-20,11750.0,11750.0,11750.0,11750.0,10534.91796875,0
2023-03-21,11600.0,11700.0,11400.0,11400.0,10221.1123046875,39177
2023-03-22,11300.0,11400.0,11210.0,11300.0,10131.453125,18498
2023-03-23,11140.0,11140.0,10850.0,10910.0,9781.7841796875,25630
2023-03-24,10700.0,11240.0,10600.0,11240.0,10077.658203125,46194
2023-03-27,11240.0,11360.0,11000.0,11000.0,9862.4775390625,13602
2023-03-28,10980.0,11400.0,10980.0,11400.0,10221.1123046875,144316
2023-03-29,11400.0,11420.0,11200.0,11420.0,10239.0439453125,29929
2023-03-30,11440.0,11440.0,11260.0,11310.0,10140.4189453125,99116
2023-03-31,11490.0,11490.0,11310.0,11480.0,10292.8388671875,15256
2023-04-03,11480.0,11480.0,11480.0,11480.0,10292.8388671875,6634
2023-04-04,11510.0,11700.0,11470.0,11500.0,10310.7705078125,105719
2023-04-05,11550.0,11600.0,11550.0,11600.0,10400.4296875,13346
2023-04-06,11600.0,11600.0,11600.0,11600.0,10400.4296875,0
2023-04-07,11600.0,11600.0,11600.0,11600.0,10400.4296875,0
2023-04-10,11500.0,11680.0,11450.0,11680.0,10472.1572265625,107920
2023-04-11,11700.0,11700.0,11500.0,11700.0,10490.0888671875,68837
2023-04-12,11700.0,12400.0,11700.0,12400.0,11117.701171875,255733
2023-04-13,12820.0,13350.0,12800.0,13280.0,11906.6982421875,82377
2023-04-14,13340.0,13340.0,13000.0,13000.0,11655.6533203125,0
2023-04-17,13000.0,13400.0,12950.0,13400.0,12014.2890625,29972
2023-04-18,13400.0,13660.0,13080.0,13280.0,11906.6982421875,140533
2023-04-19,13120.0,13120.0,12870.0,13100.0,11745.3134765625,12187
2023-04-20,12860.0,12860.0,12800.0,12860.0,11530.1318359375,14843
2023-04-21,12440.0,12740.0,12440.0,12700.0,11386.677734375,16986
2023-04-24,12600.0,13120.0,12580.0,13000.0,11655.6533203125,66720
2023-04-25,13000.0,13150.0,12940.0,13150.0,11790.142578125,49046
2023-04-26,13140.0,13290.0,13140.0,13200.0,11834.9716796875,38211
2023-04-27,12810.0,13000.0,12710.0,12810.0,11485.302734375,205655
2023-04-28,12910.0,13290.0,12910.0,13290.0,11915.6650390625,29150
2023-05-01,13290.0,13290.0,13290.0,13290.0,11915.6650390625,0
2023-05-02,13000.0,13260.0,13000.0,13110.0,11754.279296875,99183
2023-05-03,13110.0,13200.0,13000.0,13100.0,11745.3134765625,25567
2023-05-04,12610.0,13100.0,12580.0,13080.0,11727.3818359375,77089
2023-05-05,13250.0,13290.0,13250.0,13290.0,11915.6650390625,3658
2023-05-08,13290.0,13400.0,12900.0,12900.0,11565.99609375,131651
2023-05-09,13000.0,13030.0,13000.0,13030.0,11682.5517578125,15274
2023-05-10,13260.0,13480.0,13200.0,13460.0,12068.083984375,230003
2023-05-11,13500.0,13790.0,13400.0,13460.0,12068.083984375,46134
2023-05-12,13400.0,13400.0,13220.0,13220.0,11852.9033203125,31702
2023-05-15,13420.0,13420.0,13110.0,13390.0,12005.3232421875,9281
2023-05-16,13410.0,13520.0,13290.0,13290.0,11915.6650390625,46140
2023-05-17,13520.0,13520.0,13470.0,13470.0,12077.05078125,3849
2023-05-18,13450.0,13450.0,13450.0,13450.0,12059.1181640625,2739
2023-05-19,13200.0,13200.0,13000.0,13000.0,11655.6533203125,16738
2023-05-22,13000.0,13000.0,13000.0,13000.0,11655.6533203125,0
2023-05-23,13200.0,13500.0,13200.0,13400.0,12014.2890625,49630
2023-05-24,13490.0,13560.0,13400.0,13560.0,12157.744140625,29096
2023-05-25,13580.0,13580.0,13120.0,13520.0,12121.8798828125,11518
2023-05-26,13570.0,13780.0,13500.0,13550.0,12148.77734375,36933
2023-05-29,13780.0,13870.0,13700.0,13700.0,12283.2666015625,32449
2023-05-30,13300.0,13780.0,13300.0,13760.0,12761.8349609375,36640
2023-05-31,13850.0,14400.0,13850.0,14400.0,13355.408203125,1043278
